1:215,131:
2:195,254:
3:159,226:
4:168,208:
5:157,197:
6:151,179:
7:150,171:
8:143,163:
9:155,144:
10:143,166:
11:161,149:
12:166,160:
13:153,161:
14:165,147:
15:163,157:
16:177,160:
17:181,164:
18:179,172:
19:191,166:
20:191,184:
21:202,182:
22:211,203:
23:225,184:
24:212,199:
25:223,214:
26:234,195:
27:246,209:
28:257,208:
29:257,249:
30:266,229:
31:259,248:
32:274,250:
33:275,241:
34:272,279:
35:295,267:
36:300,261:
37:293,276:
38:320,269:
39:317,287:
40:335,303:
41:334,302:
42:332,294:
43:332,329:
44:335,341:
45:348,335:
46:362,328:
47:353,334:
48:353,371:
49:347,358:
50:358,359:
51:338,368:
52:348,392:
53:340,373:
54:335,362:
55:341,357:
56:337,323:
57:330,348:
58:337,351:
59:330,338:
60:331,319:
61:323,350:
62:322,338:
63:315,314:
64:312,306:
65:304,341:
66:312,300:
67:309,316:
68:299,301:
69:296,312:
70:304,297:
71:290,306:
72:297,302:
73:278,292:
74:234,158:
75:177,258:
76:145,224:
77:138,186:
78:117,171:
79:119,162:
80:102,139:
81:111,133:
82:102,121:
83:91,136:
84:89,95:
85:77,98:
86:81,87:
87:80,84:
88:77,84:
89:73,83:
90:69,77:
91:67,74:
92:61,74:
93:55,66:
94:54,62:
95:47,63:
96:50,56:
97:50,52:
98:45,51:
99:39,47:
100:39,42:
101:41,43:
102:34,42:
103:35,39:
104:29,34:
105:25,31:
106:24,35:
107:21,27:
108:18,24:
109:17,20:
110:14,18:
111:11,16:
112:9,16:
113:9,8:
114:10,12:
115:8,10:
116:8,7:
117:6,10:
118:5,7:
119:5,7:
120:5,5:
121:3,8:
122:3,3:
123:3,6:
124:3,2:
125:3,3:
126:3,3:
127:3,5:
128:2,2:
129:3,3:
130:2,2:
131:0,3:
132:2,3:
133:2,0:
134:1,3:
135:2,3:
136:2,1:
137:2,2:
138:2,2:
139:2,3:
140:2,1:
141:2,3:
142:2,2:
143:2,2:
144:2,1:
145:2,3:
146:2,2:
147:2,2:
148:2,2:
149:2,2:
150:2,2:
151:2,2:
152:2,1:
153:2,3:
154:2,2:
155:2,2:
156:2,1:
157:1,1:
158:2,3:
159:2,1:
160:2,2:
161:2,3:
162:2,1:
163:2,2:
164:2,1:
165:2,3:
166:2,2:
167:2,1:
168:2,1:
169:2,4:
170:2,2:
171:2,1:
172:2,3:
173:2,3:
174:2,2:
175:2,2:
176:2,2:
177:2,0:
178:2,2:
179:1,3:
180:1,1:
181:0,0:
182:0,0:
183:0,1:
184:0,1:
185:0,0:
186:0,0:
187:0,1:
188:0,0:
189:0,0:
190:0,0:
191:192,140:
192:160,224:
193:135,229:
194:124,174:
195:106,163:
196:102,149:
197:86,124:
198:92,107:
199:91,110:
200:84,103:
201:81,104:
202:81,96:
203:83,95:
204:80,92:
205:79,86:
206:71,78:
207:64,82:
208:69,68:
209:63,72:
210:62,79:
211:62,70:
212:60,60:
213:56,57:
214:55,61:
215:53,51:
216:54,65:
217:50,50:
218:49,51:
219:44,46:
220:43,49:
221:38,48:
222:40,44:
223:38,31:
224:39,37:
225:36,50:
226:38,32:
227:39,44:
228:39,42:
229:33,35:
230:35,40:
231:35,26:
232:35,39:
233:36,32:
234:35,37:
235:37,33:
236:34,42:
237:35,33:
238:37,41:
239:34,26:
240:34,39:
241:33,36:
242:31,32:
243:34,37:
244:30,30:
245:32,30:
246:33,29:
247:31,39:
248:32,32:
249:31,36:
250:33,28:
251:31,30:
252:30,30:
253:31,33:
254:30,27:
255:29,33:
256:30,31:
257:30,31:
258:30,29:
259:29,23:
260:27,35:
261:28,27:
262:28,27:
263:26,28:
264:24,31:
265:27,25:
266:24,24:
267:24,23:
268:22,24:
269:22,21:
270:24,28:
271:22,23:
272:23,26:
273:24,17:
274:23,26:
275:21,28:
276:22,22:
277:22,16:
278:21,28:
279:19,23:
280:19,19:
281:20,17:
282:18,20:
283:18,16:
284:17,18:
285:19,20:
286:18,20:
287:19,16:
288:19,20:
289:19,18:
290:17,18:
291:18,22:
292:17,17:
293:17,14:
294:17,21:
295:18,14:
296:16,20:
297:17,18:
298:15,16:
299:16,17:
300:17,14:
301:16,18:
302:16,15:
303:16,13:
304:13,18:
305:14,15:
306:15,16:
307:15,14:
308:13,12:
309:14,18:
310:14,12:
311:14,14:
312:14,17:
313:13,12:
314:13,11:
315:15,19:
316:14,11:
317:14,14:
318:13,15:
319:12,13:
320:13,15:
321:13,11:
322:14,15:
323:15,10:
324:13,15:
325:12,14:
326:12,13:
327:12,10:
328:12,15:
329:12,10:
330:13,13:
331:13,14:
332:12,10:
333:12,13:
334:9,11:
335:9,13:
336:9,7:
337:10,10:
338:10,10:
339:10,10:
340:9,11:
341:10,11:
342:10,9:
343:10,11:
344:10,10:
345:9,11:
346:9,6:
347:9,10:
348:8,8:
349:8,12:
350:8,7:
351:8,7:
352:7,8:
353:9,10:
354:8,7:
355:9,7:
356:8,9:
357:9,9:
358:8,9:
359:9,9:
360:9,7:
361:8,9:
362:8,11:
363:8,6:
364:8,8:
365:9,11:
366:6,8:
367:9,8:
368:8,3:
369:9,10:
370:8,11:
371:8,5:
372:8,8:
373:9,9:
374:9,11:
375:8,7:
376:9,10:
377:8,7:
378:9,7:
379:9,9:
380:8,9:
381:8,10:
382:8,8:
383:8,6:
384:8,10:
385:8,9:
386:8,5:
387:7,8:
388:8,10:
389:6,7:
390:7,5:
