51:117,34:
52:174,85:
53:188,136:
54:223,152:
55:279,163:
56:308,206:
57:340,201:
58:348,265:
59:367,266:
60:333,279:
61:324,306:
62:320,279:
63:297,295:
64:299,287:
65:281,305:
66:299,290:
67:301,350:
68:340,266:
69:298,308:
70:299,291:
71:293,289:
72:294,286:
73:281,308:
74:303,278:
75:278,309:
76:303,282:
77:290,297:
78:302,262:
79:270,315:
80:305,292:
81:296,287:
82:292,285:
83:288,316:
84:312,310:
85:313,324:
86:314,274:
87:285,298:
88:296,326:
89:321,287:
90:296,299:
91:299,298:
92:290,306:
93:306,272:
94:277,296:
95:290,259:
96:268,288:
97:288,265:
98:264,301:
99:301,292:
100:293,247:
