1:357,72:
2:381,190:
3:353,237:
4:322,231:
5:255,227:
6:226,234:
7:242,241:
8:243,225:
9:224,228:
10:228,212:
11:213,205:
12:211,230:
13:232,207:
14:209,224:
15:221,191:
16:194,218:
17:214,187:
18:190,213:
19:212,216:
20:215,166:
21:171,210:
22:208,183:
23:185,186:
24:187,212:
25:209,180:
26:182,204:
27:205,185:
28:185,182:
29:182,188:
30:187,166:
31:166,167:
32:167,179:
33:179,158:
34:158,167:
35:168,164:
36:164,162:
37:162,145:
38:145,134:
39:134,157:
40:157,181:
41:180,169:
42:168,146:
43:147,145:
44:146,145:
45:145,138:
46:138,114:
47:114,112:
48:112,131:
49:131,122:
50:122,131:
