1:103,27:
2:201,40:
3:291,96:
4:323,142:
5:335,159:
6:326,179:
7:279,215:
8:242,215:
9:225,227:
10:223,252:
11:235,253:
12:258,239:
13:243,241:
14:244,224:
15:232,200:
16:201,239:
17:235,255:
18:252,221:
19:229,257:
20:251,233:
21:239,233:
22:226,227:
23:232,238:
24:247,255:
25:243,202:
26:218,240:
27:233,251:
28:237,262:
29:267,234:
30:243,235:
31:233,226:
32:233,216:
33:217,229:
34:223,242:
35:239,255:
36:259,220:
37:227,241:
38:238,203:
39:202,256:
40:242,241:
41:254,240:
42:242,218:
43:216,242:
44:238,236:
45:238,245:
46:238,250:
47:260,232:
48:233,228:
49:230,244:
50:239,247:
51:248,229:
52:225,235:
53:235,236:
54:244,234:
55:237,255:
56:247,275:
57:275,240:
58:244,233:
59:232,232:
60:238,261:
61:255,213:
62:220,255:
63:251,276:
64:262,233:
65:244,248:
66:245,247:
67:246,228:
68:233,256:
69:250,232:
70:236,232:
71:232,233:
72:230,239:
73:232,252:
74:252,244:
75:248,233:
76:236,231:
77:228,219:
78:224,238:
79:237,287:
80:277,229:
81:240,233:
82:235,217:
83:215,258:
84:256,245:
85:249,260:
86:258,239:
87:242,249:
88:249,244:
89:236,222:
90:225,246:
91:248,246:
92:252,251:
93:252,251:
94:252,238:
95:239,262:
96:256,243:
97:250,230:
98:227,261:
99:250,254:
100:266,255:
101:251,268:
102:266,229:
103:231,247:
104:246,246:
105:252,261:
106:256,259:
107:257,255:
108:252,245:
109:247,253:
110:254,215:
111:225,255:
112:245,243:
113:244,250:
114:249,256:
115:256,251:
116:249,258:
117:254,220:
118:235,254:
119:250,246:
120:242,263:
121:264,257:
122:256,229:
123:227,241:
124:239,244:
125:252,255:
126:242,260:
127:264,249:
