1:0,0:
2:246,123:
3:208,295:
4:205,288:
5:188,227:
6:208,194:
7:211,210:
8:216,199:
9:231,205:
10:232,231:
11:263,207:
12:252,250:
13:272,252:
14:285,252:
15:283,286:
16:297,276:
17:290,268:
18:288,310:
19:304,268:
20:289,308:
21:292,284:
22:294,297:
23:305,293:
24:309,305:
25:304,308:
26:290,299:
27:303,330:
28:311,290:
29:307,277:
30:300,316:
31:322,295:
32:315,303:
33:319,303:
34:314,322:
35:322,314:
36:309,315:
37:313,326:
38:318,321:
39:315,323:
40:307,313:
41:320,302:
42:309,337:
43:323,332:
44:311,287:
45:318,312:
46:309,312:
47:297,306:
48:299,300:
49:307,320:
50:310,318:
51:300,284:
52:313,279:
53:306,334:
54:317,301:
55:296,325:
56:295,284:
57:296,283:
58:309,310:
59:296,317:
60:281,320:
61:297,277:
62:285,299:
63:283,273:
64:283,292:
65:269,297:
66:277,280:
67:290,277:
68:272,295:
69:274,253:
70:270,291:
71:274,273:
72:275,258:
73:274,265:
74:254,282:
75:267,285:
76:270,250:
77:271,262:
78:275,262:
79:280,264:
80:263,288:
81:287,296:
82:268,282:
83:261,276:
84:253,261:
85:252,253:
86:247,256:
87:242,275:
88:238,234:
89:242,250:
90:240,233:
91:246,256:
92:242,257:
93:235,220:
94:219,234:
95:231,236:
96:232,237:
97:229,245:
98:230,211:
99:215,243:
100:221,235:
101:212,205:
102:216,223:
103:204,233:
104:215,197:
105:210,196:
106:214,229:
107:205,202:
108:208,201:
109:211,214:
110:211,200:
111:213,217:
112:219,217:
113:209,208:
114:209,223:
115:210,197:
116:221,223:
117:218,198:
118:209,227:
119:213,208:
120:218,221:
121:210,207:
122:214,215:
123:209,217:
124:209,203:
125:202,217:
126:199,201:
127:203,191:
128:189,228:
129:188,193:
130:198,211:
131:178,193:
132:179,176:
133:198,209:
134:188,183:
135:195,181:
136:193,204:
137:200,178:
138:200,204:
139:199,180:
140:193,188:
141:195,203:
142:195,202:
143:194,192:
144:197,181:
145:187,200:
146:199,201:
147:201,216:
148:201,178:
149:195,200:
150:208,201:
151:195,207:
152:204,218:
