1:322,226:
2:280,336:
3:246,411:
4:279,336:
5:285,324:
6:299,292:
7:305,318:
8:313,289:
9:315,309:
10:331,296:
11:332,313:
12:331,333:
13:332,322:
14:332,322:
15:344,327:
16:346,334:
17:337,337:
18:348,323:
19:352,376:
20:352,330:
21:358,342:
22:357,338:
23:363,359:
24:344,357:
25:360,328:
26:329,351:
27:340,357:
28:323,364:
29:343,344:
30:340,349:
31:343,326:
32:333,358:
33:345,320:
34:339,328:
35:356,330:
36:360,366:
37:340,346:
38:352,334:
39:350,351:
40:331,357:
41:332,370:
42:338,322:
43:338,326:
44:333,349:
45:326,329:
46:335,323:
47:345,357:
48:334,335:
49:331,344:
50:342,314:
51:332,355:
52:343,323:
53:332,352:
54:341,323:
55:336,340:
56:328,357:
57:322,330:
58:326,348:
59:347,314:
60:353,318:
61:320,348:
62:347,324:
63:340,330:
64:329,344:
65:335,354:
66:330,336:
67:346,343:
68:343,315:
69:344,350:
70:351,368:
71:370,320:
72:340,354:
73:360,336:
74:338,367:
75:332,347:
76:314,345:
77:318,342:
78:324,326:
79:328,314:
80:324,332:
81:327,331:
82:346,284:
83:341,347:
84:343,348:
85:334,323:
86:335,374:
87:325,318:
88:316,299:
89:307,329:
90:314,363:
91:330,279:
92:337,308:
93:326,374:
94:332,317:
95:327,329:
96:343,327:
97:325,313:
98:320,330:
99:312,357:
100:330,300:
101:330,318:
102:330,332:
103:333,336:
104:332,319:
105:333,349:
106:327,319:
107:326,341:
108:332,331:
109:333,321:
110:326,309:
111:336,334:
112:334,341:
113:316,331:
114:322,295:
115:314,353:
116:323,287:
117:307,336:
118:313,338:
119:333,319:
120:321,326:
121:341,321:
122:323,308:
123:322,318:
124:325,339:
125:319,316:
126:315,317:
127:322,343:
128:343,323:
129:326,334:
130:332,338:
131:327,317:
132:332,339:
133:326,329:
134:334,319:
135:329,350:
136:334,313:
137:324,336:
138:317,340:
139:329,320:
140:325,306:
141:342,331:
142:323,332:
143:330,338:
144:317,337:
145:320,322:
146:319,298:
147:306,333:
148:335,322:
149:333,321:
150:326,325:
151:332,346:
152:340,320:
153:340,331:
154:345,318:
155:322,313:
156:338,327:
157:319,346:
158:335,345:
159:344,349:
160:358,320:
161:340,350:
162:341,365:
163:330,333:
164:332,298:
165:334,359:
166:326,319:
167:315,323:
168:328,342:
169:336,323:
170:332,328:
171:326,338:
172:335,318:
173:332,315:
174:341,345:
175:338,342:
176:346,345:
177:355,352:
178:340,329:
179:347,358:
180:332,342:
181:348,337:
182:344,346:
183:331,332:
184:332,330:
185:336,331:
186:345,360:
187:339,339:
188:349,337:
189:329,320:
190:349,371:
191:351,334:
192:329,326:
193:338,325:
194:331,340:
195:345,343:
196:331,348:
197:357,330:
198:339,361:
199:336,350:
200:343,311:
201:298,347:
202:322,334:
203:325,336:
204:346,327:
205:334,335:
206:334,335:
207:337,326:
208:336,348:
209:337,335:
210:338,308:
211:318,337:
212:334,338:
213:331,321:
214:331,316:
215:325,345:
216:329,322:
217:330,320:
218:339,347:
219:348,335:
220:337,326:
221:331,342:
222:335,324:
223:334,365:
224:339,314:
225:345,345:
226:340,336:
227:328,361:
228:341,340:
229:342,325:
230:332,354:
231:329,334:
232:327,323:
233:317,324:
234:328,326:
235:326,357:
236:336,306:
237:344,323:
238:323,322:
239:321,329:
240:336,323:
241:316,338:
242:337,329:
243:323,342:
244:327,351:
245:332,323:
246:345,302:
247:338,325:
248:318,331:
249:318,325:
250:319,350:
251:338,327:
252:328,317:
253:311,340:
254:334,317:
255:333,311:
256:331,325:
257:317,366:
258:329,308:
259:326,319:
260:312,361:
261:322,317:
262:327,296:
263:311,347:
264:341,299:
265:321,345:
266:327,312:
267:325,324:
268:321,300:
269:323,336:
270:308,317:
271:319,350:
272:334,310:
273:330,309:
274:332,305:
275:314,335:
276:340,299:
277:329,339:
278:330,353:
279:336,306:
280:321,349:
281:326,333:
282:340,344:
283:332,321:
284:328,324:
285:321,339:
286:328,341:
287:314,303:
288:331,328:
289:315,334:
290:325,344:
291:338,329:
292:320,293:
293:337,329:
294:331,315:
295:335,321:
296:330,335:
297:334,344:
298:332,303:
299:329,354:
300:308,336:
301:338,331:
302:330,335:
303:336,315:
304:327,345:
305:339,338:
306:331,343:
307:328,314:
308:339,320:
309:326,319:
310:326,358:
311:333,326:
312:344,322:
313:341,342:
314:342,319:
315:347,354:
316:333,331:
317:345,365:
318:338,353:
319:329,363:
320:330,328:
321:337,335:
322:324,314:
323:337,337:
324:331,337:
