1:252,143:
2:184,308:
3:142,222:
4:125,222:
5:124,169:
6:118,159:
7:109,156:
8:110,133:
9:97,122:
10:93,119:
11:85,100:
12:80,102:
13:76,90:
14:74,84:
15:73,88:
16:67,68:
17:67,72:
18:58,70:
19:53,61:
20:48,59:
21:47,50:
22:46,49:
23:45,52:
24:42,55:
25:41,41:
26:36,45:
27:39,35:
28:35,45:
29:32,42:
30:34,26:
31:34,29:
32:33,43:
33:31,33:
34:35,32:
35:37,31:
36:32,40:
37:31,34:
38:31,27:
39:29,35:
40:23,30:
41:26,32:
42:19,25:
43:21,24:
44:18,32:
45:18,13:
46:17,20:
47:16,19:
48:14,18:
49:14,19:
50:14,15:
51:14,10:
52:13,10:
53:13,17:
54:13,12:
55:14,13:
56:14,15:
57:13,14:
58:13,15:
59:12,13:
60:10,10:
61:12,9:
62:10,15:
63:9,12:
64:10,7:
65:9,11:
66:10,8:
67:11,10:
68:10,9:
69:10,13:
70:9,12:
71:10,9:
72:8,9:
73:9,8:
74:9,9:
75:8,9:
76:8,8:
77:8,10:
78:8,10:
79:8,6:
80:7,6:
81:7,10:
82:7,6:
83:6,9:
84:7,7:
85:6,2:
86:7,11:
87:6,5:
88:6,5:
89:6,7:
90:6,7:
91:6,7:
92:5,5:
93:6,6:
94:6,5:
95:5,7:
96:5,7:
97:5,2:
98:5,6:
99:5,4:
100:4,6:
101:4,5:
102:4,5:
103:4,3:
104:4,6:
105:4,2:
106:3,6:
107:3,3:
108:3,1:
109:3,5:
110:3,4:
111:3,3:
112:3,3:
113:3,3:
114:3,3:
115:3,4:
116:3,2:
117:3,4:
118:3,3:
119:3,2:
120:3,4:
121:3,3:
122:3,2:
123:3,4:
124:3,2:
125:3,4:
126:3,1:
127:3,5:
128:3,2:
129:3,4:
130:3,1:
131:3,5:
132:3,2:
133:3,3:
134:3,3:
135:3,2:
136:3,5:
137:3,2:
138:3,3:
139:3,4:
140:3,3:
141:3,2:
142:3,3:
143:3,2:
144:3,5:
145:3,3:
146:3,2:
147:3,3:
148:3,4:
149:3,2:
150:3,3:
151:3,3:
152:3,4:
153:3,3:
154:3,1:
155:3,3:
156:3,5:
157:3,2:
158:3,3:
159:3,3:
160:3,4:
161:3,2:
162:3,4:
163:3,2:
164:3,3:
165:3,4:
166:3,2:
167:3,3:
168:3,4:
169:3,2:
170:3,3:
171:3,4:
172:3,1:
173:3,3:
174:3,4:
175:3,4:
176:3,2:
177:3,3:
178:3,2:
179:3,4:
180:3,4:
181:3,2:
182:3,3:
183:3,4:
184:3,1:
185:3,5:
186:3,3:
187:3,2:
188:3,2:
189:3,4:
190:3,3:
191:3,3:
192:3,4:
193:3,3:
194:3,3:
195:3,2:
196:3,4:
197:3,3:
198:3,1:
199:3,5:
200:3,2:
201:3,2:
202:3,5:
203:3,2:
204:3,4:
205:3,2:
206:3,4:
207:3,3:
208:3,2:
209:3,4:
210:3,3:
211:3,2:
212:3,4:
213:3,3:
214:3,1:
215:3,5:
216:3,2:
217:3,4:
218:3,3:
219:3,3:
220:3,2:
221:3,4:
222:3,3:
223:3,3:
224:3,3:
225:3,2:
226:3,4:
227:3,2:
228:3,3:
229:3,3:
230:3,3:
231:3,4:
232:3,2:
233:3,4:
234:3,3:
235:3,3:
236:3,2:
237:3,3:
238:3,2:
239:3,3:
240:3,4:
241:3,3:
242:3,3:
